iter	Logloss
0	0.6594777171
1	0.6334457181
2	0.608356569
3	0.5886764568
4	0.5738115862
5	0.5618806751
6	0.5529039397
7	0.5452540799
8	0.5381762106
9	0.5322983321
10	0.5274037139
11	0.5232690491
12	0.5193825203
13	0.5159336424
14	0.5129715735
15	0.5103851883
16	0.5071783967
17	0.5047972189
18	0.5020869707
19	0.499939946
20	0.4978696634
21	0.496204325
22	0.4943826623
23	0.4927367158
24	0.4914472416
25	0.4900699763
26	0.4886986063
27	0.4873311283
28	0.4862529285
29	0.4852151978
30	0.4841424858
31	0.4830765816
32	0.4820162604
33	0.4811478496
34	0.4804379034
35	0.4795475209
36	0.4788764952
37	0.4782064843
38	0.4776401266
39	0.4769929056
40	0.476401115
41	0.4757803325
42	0.4753333879
43	0.4748624408
44	0.4743671049
45	0.4737980515
46	0.4733386387
47	0.4729593361
48	0.472509025
49	0.4720044039
50	0.4716087919
51	0.4712149501
52	0.4708715451
53	0.4705988648
54	0.4702029088
55	0.4699867129
56	0.4697248993
57	0.4694216242
58	0.4692100257
59	0.4689831459
60	0.4687916057
61	0.4685837484
62	0.4683842598
63	0.4681350858
64	0.4678993927
65	0.4677238405
66	0.4674863302
67	0.4673116205
68	0.4671011122
69	0.4670086841
70	0.4668930277
71	0.4667339862
72	0.4665871044
73	0.4663584721
74	0.4662204611
75	0.4660333916
76	0.4658621591
77	0.4657868722
78	0.4656832981
79	0.4655714535
80	0.4654467578
81	0.4653829523
82	0.4651972812
83	0.4650498514
84	0.4648601415
85	0.4647287468
86	0.4646346696
87	0.4645026889
88	0.4643513552
89	0.4641212108
90	0.4639765899
91	0.463872735
92	0.4637220056
93	0.4636934667
94	0.4636145716
95	0.463515232
96	0.4634128664
97	0.463348351
98	0.4632365924
99	0.4631225837
100	0.4630069194
101	0.4628446351
102	0.4627413135
103	0.4626495461
104	0.4624706507
105	0.4624147401
106	0.4622694187
107	0.4621969314
108	0.4620572856
109	0.4618967061
110	0.4617004797
111	0.4616483173
112	0.4615204188
113	0.4614032775
114	0.4613226119
115	0.4612640461
116	0.461156467
117	0.4610847971
118	0.4610430798
119	0.4608326142
120	0.460665457
121	0.4605315936
122	0.4604036916
123	0.4602623728
124	0.4601610098
125	0.4600204809
126	0.4598690981
127	0.4597215683
128	0.4595919615
129	0.4595097733
130	0.459450709
131	0.4593130174
132	0.4591301819
133	0.4590580864
134	0.4589232163
135	0.4588045253
136	0.4586884874
137	0.4585141663
138	0.4583507725
139	0.4582820504
140	0.4581375748
141	0.4580195417
142	0.457918509
143	0.4577768084
144	0.4576227378
145	0.4575437272
146	0.4574428387
147	0.4573662422
148	0.4571898709
149	0.4571212308
150	0.4570295605
151	0.4568459315
152	0.4567112946
153	0.4565170569
154	0.4563779018
155	0.4562042959
156	0.4560981993
157	0.4560229496
158	0.4558771087
159	0.4558274075
160	0.4557263184
161	0.4556890301
162	0.45554378
163	0.4553776484
164	0.4552897646
165	0.4551267969
166	0.455045951
167	0.4549327509
168	0.4548328008
169	0.4546587324
170	0.4546109812
171	0.4544848025
172	0.4544481479
173	0.4543942068
174	0.4542653082
175	0.4541835981
176	0.4540980584
177	0.4539584646
178	0.45379862
179	0.4536669376
180	0.4535584418
181	0.4534894667
182	0.4533642468
183	0.4532960333
184	0.4531785207
185	0.4531442639
186	0.4530458592
187	0.4528556756
188	0.4527804469
189	0.4527226265
190	0.4526049844
191	0.4524859319
192	0.4523643154
193	0.4522176016
194	0.4520597269
195	0.4518917868
196	0.4517973786
197	0.4517136587
198	0.4515814486
199	0.4515269216
